state,x,y
Jammu & Kashmir,-129.0,291.0
Himachal Pradesh,-110.0,227.0
Punjab,-144.0,204.0
Uttarakhand,-73.0,192.0
Haryana,-120.0,163.0
Rajasthan,-184.0,114.0
Gujarat,-216.0,27.0
Maharashtra,-153.0,-54.0
Goa,-174.0,-139.0
Karnataka,-136.0,-145.0
Hawaii,-317,-143
Kerala,-128.0,-244.0
Tamil Nadu,-80.0,-234.0
Andhra Pradesh,-73.0,-151.0
Orissa,46.0,-22.0
Chhatisgarh,-14.0,7.0
Jharkhand,57.0,41.0
West Bengal,109.0,39.0
Bihar,67.0,92.0
Sikkim,117.0,138.0
Assam,209.0,113.0
Arunachal Pradesh,233.0,160.0
Nagaland,242.0,109.0
Manipur,230.0,81.0
Mizoram,211.0,49.0
Uttar Pradesh,-49.0,119.0
Madhya Pradesh,-94.0,34.0
Lakshadweep,-208.0,-244.0
Andaman & Nicobar Islands,229.0,-214.0
Telangana,-71.0,-87.0
